Code;Title
AFR;Africa
AMR;Americas
EMR;Eastern Mediterranean
EUR;Europe
GBD_REG14_AFRD;Africa region, stratum D (AFR D)
GBD_REG14_AFRE;Africa region, stratum E(AFR E)
GBD_REG14_AMRA;Americas region, stratum A (AMR A)
GBD_REG14_AMRB;Americas region, stratum B (AMR B)
GBD_REG14_AMRD;Americas region, stratum D (AMR D)
GBD_REG14_EMRB;Eastern Mediterranean region, stratum B (EMR B)
GBD_REG14_EMRD;Eastern Mediterranean region, stratum D (EMR D)
GBD_REG14_EURA;Europe region, stratum A (EUR A)
GBD_REG14_EURB;Europe region, stratum B (EUR B)
GBD_REG14_EURC;Europe region, stratum C (EUR C)
GBD_REG14_SEARB;South East Asia region, stratum B (SEAR B)
GBD_REG14_SEARD;South East Asia region, stratum D (SEAR D)
GBD_REG14_WPRA;Western Pacific region, stratum A (WPR A)
GBD_REG14_WPRB;Western Pacific region, stratum B (WPR B)
NC;Not classified
NOTSPEC;Not specified
OECD_HII_AMR;Americas, high-income OECD
OECD_HII_EUR;Europe, high-income OECD
OECD_HII_WPR;Western Pacific , high-income OECD
OECD_NON_AFR;Africa (non-OECD)
OECD_NON_AMR;Americas, non-OECD
OECD_NON_EMR;Eastern Mediterranean (non-OECD)
OECD_NON_EUR;Europe, non-OECD
OECD_NON_SEAR;South-East Asia (non-OECD)
OECD_NON_WPR;Western Pacific, non-OECD
SEAR;South-East Asia
SEAR_W_IDN;South-East Asia with Indonesia
WHO_HI_GLOBAL;WHO High income countries of the world
WHO_LMI_AFR;Low-and-middle-income countries of the African Region
WHO_LMI_AMR;Low-and-middle-income countries of the Americas
WHO_LMI_EMR;Low-and-middle-income countries of the Eastern Mediterranean Region
WHO_LMI_EUR;Low-and-middle-income countries of the European Region
WHO_LMI_HIC;High income countries
WHO_LMI_SEAR;Low-and-middle-income countries of the South-East Asia Region
WHO_LMI_WORLD;Global (WHO LMI)
WHO_LMI_WPR;Low-and-middle-income countries of the Western Pacific Region
WHO_NONMEM;WHO Non Members
WPR;Western Pacific
WPR_WO_IDN;Western Pacific without Indonesia
