"date";"year";"zgony";"t";"covid"
2000-07-01;"2000";368027;1;0
2001-07-01;"2001";363220;2;0
2002-07-01;"2002";359486;3;0
2003-07-01;"2003";365230;4;0
2004-07-01;"2004";363522;5;0
2005-07-01;"2005";368285;6;0
2006-07-01;"2006";369686;7;0
2007-07-01;"2007";377226;8;0
2008-07-01;"2008";379399;9;0
2009-07-01;"2009";384940;10;0
2010-07-01;"2010";378478;11;0
2011-07-01;"2011";375501;12;0
2012-07-01;"2012";384788;13;0
2013-07-01;"2013";387312;14;0
2014-07-01;"2014";376467;15;0
2015-07-01;"2015";394921;16;0
2016-07-01;"2016";388009;17;0
2017-07-01;"2017";402852;18;0
2018-07-01;"2018";414200;19;0
2019-07-01;"2019";409709;20;0
2020-07-01;"2020";477355;21;1
2021-07-01;"2021";519517;22;1
2022-07-01;"2022";448448;23;1
2023-07-01;"2023";409036;24;0
2024-07-01;"2024";408504;25;0
